Name,Type,Categories,Frequency
" Read something about AI, DL, ML for two hours",Habits,"ai related, read",Daily
Take a walk with my dogs,Habits,leisure time,Daily
See the news,Habits,"country related, news",Week days
Organize the backlog,Habits,organization,Daily
Laundry,Habits,home,Weekly
Sleep 8 hours (/ day),Habits,health,Daily
Personal Github Readme,Done,"code, doc",Other
End Data Science with Python Road,Done,"code, study",Daily
AIG-UCSP Page Deployment,Done,code,Other
WM Paper publication Dec 2k22,To Do,"code, doc, research",Other
Ending pending Udemy curses,Doing,"code, doc, study",Daily
Ending all Datacamp curses,Doing,"code, study",Daily
Freelance time (1-4h),Doing,"code, doc, research",Week days
Thesis Graduate (To achieve),Doing,"code, research",
MS Paper Publiation Dec 2022,Doing,"code, doc, research",
Work time (8h),Doing,"code, doc, research",Week days
Training (body),Habits 2,health,Daily
Journaling,Habits 2,hobby,Daily
Study two hours,Habits 2,"code, research, study",Daily
AIG UCSP Time,Habits 2,"code, doc, research",Daily